market_group,region,market_node,internal_ratio,base_qty_lot,note
Retail_Local_KANTO,KANTO,Retail_Local_KANTO,1.0000,22314,uom=KL
Retail_Local_KANSAI,KANSAI,Retail_Local_KANSAI,1.0000,13388,uom=KL
Retail_Local_CHUBU,CHUBU,Retail_Local_CHUBU,1.0000,6693,uom=KL
Retail_Import_KANTO_I,KANTO_I,Retail_Import_KANTO_I,1.0000,6044,uom=KL
Retail_Import_KANSAI_I,KANSAI_I,Retail_Import_KANSAI_I,1.0000,3779,uom=KL
Retail_Local_H_KANTO,KANTO,Retail_Local_H_KANTO,1.0000,51,uom=KL100KBBL
Retail_Local_H_KANSAI,KANSAI,Retail_Local_H_KANSAI,1.0000,26,uom=KL100KBBL
Retail_Local_H_CHUBU,CHUBU,Retail_Local_H_CHUBU,1.0000,26,uom=KL100KBBL
Retail_Local_R_KANTO,KANTO,Retail_Local_R_KANTO,1.0000,246,uom=KL100KBBL
Retail_Local_R_KANSAI,KANSAI,Retail_Local_R_KANSAI,1.0000,124,uom=KL100KBBL
Retail_Local_R_CHUBU,CHUBU,Retail_Local_R_CHUBU,1.0000,124,uom=KL100KBBL
Retail_EU_DE,DE,Retail_EU_DE,1.0000,26035,uom=KL
Retail_EU_FR,FR,Retail_EU_FR,1.0000,16361,uom=KL
Retail_EU_NL,NL,Retail_EU_NL,1.0000,8185,uom=KL
Retail_EU_Import_DE_I,DE_I,Retail_EU_Import_DE_I,1.0000,7558,uom=KL
Retail_EU_Import_FR_I,FR_I,Retail_EU_Import_FR_I,1.0000,4535,uom=KL
Retail_US_TX,TX,Retail_US_TX,1.0000,34006,uom=KL
Retail_US_CA,CA,Retail_US_CA,1.0000,22670,uom=KL
Retail_US_NY,NY,Retail_US_NY,1.0000,11336,uom=KL
Retail_US_Import_MW_I,MW_I,Retail_US_Import_MW_I,1.0000,4535,uom=KL
Retail_US_Import_NE_I,NE_I,Retail_US_Import_NE_I,1.0000,3022,uom=KL
